ORDER,Coded Title,Lay Title,Length
640,B07001_007E,30 to 34 years,14
641,B07001_008E,35 to 39 years,14
642,B07001_009E,40 to 44 years,14
643,B07001_010E,45 to 49 years,14
644,B07001_011E,50 to 54 years,14
645,B07001_012E,55 to 59 years,14
646,B07001_013E,60 to 64 years,14
647,B07001_014E,65 to 69 years,14
648,B07001_015E,70 to 74 years,14
942,B09001_002E,In households:,14
1255,B12001_009E,Male:!!Widowed,14
1271,B12002A_006E,Male:!!Widowed,14
1284,B12002B_006E,Male:!!Widowed,14
1297,B12002C_006E,Male:!!Widowed,14
1310,B12002D_006E,Male:!!Widowed,14
1323,B12002E_006E,Male:!!Widowed,14
1336,B12002F_006E,Male:!!Widowed,14
1349,B12002G_006E,Male:!!Widowed,14
1362,B12002H_006E,Male:!!Widowed,14
1375,B12002I_006E,Male:!!Widowed,14
1760,B15003_003E,Nursery school,14
3243,B25003_002E,Owner occupied,14
3300,B25104_002E,Less than $100,14
3312,B25104_014E,"$2,000 or more",14
3776,ROBBERY,ROBBERIES (03),14
3779,LARCENY,LARCENIES (06),14
3787,VANDLSM,VANDALISM (14),14
3813,SUSPICN,SUSPICION (27),14
142,B01001_008E,Male:!!20 years,15
143,B01001_009E,Male:!!21 years,15
582,B06001_009E,60 and 61 years,15
637,B07001_004E,18 and 19 years,15
1256,B12001_010E,Male:!!Divorced,15
1272,B12002A_007E,Male:!!Divorced,15
1285,B12002B_007E,Male:!!Divorced,15
1298,B12002C_007E,Male:!!Divorced,15
1311,B12002D_007E,Male:!!Divorced,15
1324,B12002E_007E,Male:!!Divorced,15
1337,B12002F_007E,Male:!!Divorced,15
1350,B12002G_007E,Male:!!Divorced,15
1363,B12002H_007E,Male:!!Divorced,15
1376,B12002I_007E,Male:!!Divorced,15
3179,B23025_002E,In labor force:,15
3244,B25003_003E,Renter occupied,15
3546,C18108_002E,Under 18 years:,15
3550,C18108_006E,18 to 64 years:,15
3562,C24050_005E,Wholesale trade,15
3643,C27001A_002E,Under 18 years:,15
3646,C27001A_005E,18 to 64 years:,15
3653,C27001B_002E,Under 18 years:,15
3656,C27001B_005E,18 to 64 years:,15
3663,C27001C_002E,Under 18 years:,15
3666,C27001C_005E,18 to 64 years:,15
3673,C27001D_002E,Under 18 years:,15
3676,C27001D_005E,18 to 64 years:,15
3683,C27001E_002E,Under 18 years:,15
3686,C27001E_005E,18 to 64 years:,15
3693,C27001F_002E,Under 18 years:,15
3696,C27001F_005E,18 to 64 years:,15
3703,C27001G_002E,Under 18 years:,15
3706,C27001G_005E,18 to 64 years:,15
3713,C27001H_002E,Under 18 years:,15
3716,C27001H_005E,18 to 64 years:,15
3723,C27001I_002E,Under 18 years:,15
3726,C27001I_005E,18 to 64 years:,15
3778,BURGLRY,BURGLARIES (05),15
3822,s_rank_8082,Rank-Rank Slope,15
1264,B12001_018E,Female:!!Widowed,16
1270,B12002A_005E,Male:!!Separated,16
1277,B12002A_012E,Female:!!Widowed,16
1283,B12002B_005E,Male:!!Separated,16
1290,B12002B_012E,Female:!!Widowed,16
1296,B12002C_005E,Male:!!Separated,16
1303,B12002C_012E,Female:!!Widowed,16
1309,B12002D_005E,Male:!!Separated,16
1316,B12002D_012E,Female:!!Widowed,16
1322,B12002E_005E,Male:!!Separated,16
1329,B12002E_012E,Female:!!Widowed,16
1335,B12002F_005E,Male:!!Separated,16
1342,B12002F_012E,Female:!!Widowed,16
1348,B12002G_005E,Male:!!Separated,16
1355,B12002G_012E,Female:!!Widowed,16
1361,B12002H_005E,Male:!!Separated,16
1368,B12002H_012E,Female:!!Widowed,16
1374,B12002I_005E,Male:!!Separated,16
1381,B12002I_012E,Female:!!Widowed,16
1729,B15002_007E,Male:!!9th grade,16
1780,B15003_023E,Master''s degree,16
1782,B15003_025E,Doctorate degree,16
1794,B16002_012E,Other languages:,16
1843,B19001_017E,"$200,000 or more",16
1860,B19001A_017E,"$200,000 or more",16
1877,B19001B_017E,"$200,000 or more",16
1894,B19001C_017E,"$200,000 or more",16
1911,B19001D_017E,"$200,000 or more",16
1928,B19001E_017E,"$200,000 or more",16
1945,B19001F_017E,"$200,000 or more",16
1962,B19001G_017E,"$200,000 or more",16
1979,B19001H_017E,"$200,000 or more",16
1996,B19001I_017E,"$200,000 or more",16
2752,B19101_017E,"$200,000 or more",16
2769,B19101A_017E,"$200,000 or more",16
2786,B19101B_017E,"$200,000 or more",16
2803,B19101C_017E,"$200,000 or more",16
2820,B19101D_017E,"$200,000 or more",16
2837,B19101E_017E,"$200,000 or more",16
2854,B19101F_017E,"$200,000 or more",16
2871,B19101G_017E,"$200,000 or more",16
2888,B19101H_017E,"$200,000 or more",16
2905,B19101I_017E,"$200,000 or more",16
3310,B25104_012E,"$1,000 to $1,499",16
3311,B25104_013E,"$1,500 to $1,999",16
3809,DRUNK,DRUNKENNESS (23),16
3832,kid_fam_inc_p25,Child Income p25,16
3836,kid_fam_inc_p75,Child Income p75,16
3838,kid_fam_inc_p90,Child Income p90,16
3840,kid_fam_inc_p99,Child income p99,16
166,B01001_032E,Female:!!20 years,17
167,B01001_033E,Female:!!21 years,17
585,B06001_012E,75 years and over,17
649,B07001_016E,75 years and over,17
735,B07004A_006E,Moved from abroad,17
741,B07004B_006E,Moved from abroad,17
747,B07004C_006E,Moved from abroad,17
753,B07004D_006E,Moved from abroad,17
759,B07004E_006E,Moved from abroad,17
765,B07004F_006E,Moved from abroad,17
771,B07004G_006E,Moved from abroad,17
777,B07004H_006E,Moved from abroad,17
783,B07004I_006E,Moved from abroad,17
950,B09001_010E,In group quarters,17
1265,B12001_019E,Female:!!Divorced,17
1278,B12002A_013E,Female:!!Divorced,17
1291,B12002B_013E,Female:!!Divorced,17
1304,B12002C_013E,Female:!!Divorced,17
1317,B12002D_013E,Female:!!Divorced,17
1330,B12002E_013E,Female:!!Divorced,17
1343,B12002F_013E,Female:!!Divorced,17
1356,B12002G_013E,Female:!!Divorced,17
1369,B12002H_013E,Female:!!Divorced,17
1382,B12002I_013E,Female:!!Divorced,17
1730,B15002_008E,Male:!!10th grade,17
1731,B15002_009E,Male:!!11th grade,17
1828,B19001_002E,"Less than $10,000",17
1845,B19001A_002E,"Less than $10,000",17
1862,B19001B_002E,"Less than $10,000",17
1879,B19001C_002E,"Less than $10,000",17
1896,B19001D_002E,"Less than $10,000",17
1913,B19001E_002E,"Less than $10,000",17
1930,B19001F_002E,"Less than $10,000",17
1947,B19001G_002E,"Less than $10,000",17
1964,B19001H_002E,"Less than $10,000",17
1981,B19001I_002E,"Less than $10,000",17
2737,B19101_002E,"Less than $10,000",17
2754,B19101A_002E,"Less than $10,000",17
2771,B19101B_002E,"Less than $10,000",17
2788,B19101C_002E,"Less than $10,000",17
2805,B19101D_002E,"Less than $10,000",17
2822,B19101E_002E,"Less than $10,000",17
2839,B19101F_002E,"Less than $10,000",17
2856,B19101G_002E,"Less than $10,000",17
2873,B19101H_002E,"Less than $10,000",17
2890,B19101I_002E,"Less than $10,000",17
2917,B19119_002E,2-person families,17
2918,B19119_003E,3-person families,17
2919,B19119_004E,4-person families,17
2920,B19119_005E,5-person families,17
2921,B19119_006E,6-person families,17
3256,B25064_001E,Median gross rent,17
3269,B25075_002E,"Less than $10,000",17
3764,PART,ICPSR PART NUMBER,17
3785,EMBEZL,EMBEZZLEMENT (12),17
3790,SEXOFF,SEX OFFENSES (17),17
3818,cz,Commuting Zone ID,17
3830,kid_fam_inc_mean,Mean Child Income,17
3831,par_fam_inc_p25,Parent Income p25,17
3835,par_fam_inc_p75,Parent Income p75,17
3837,par_fam_inc_p90,Parent Income p90,17
3839,par_fam_inc_p99,Parent Income p99,17
471,B02001_008E,Two or more races:,18
531,B03003_003E,Hispanic or Latino,18
544,B05001_006E,Not a U.S. citizen,18
561,B05011_002E,Not a U.S. citizen,18
714,B07001_081E,Moved from abroad:,18
788,B07009_005E,Bachelor''s degree,18
814,B07009_031E,Moved from abroad:,18
875,B07010_056E,Moved from abroad:,18
912,B07012_021E,Moved from abroad:,18
958,B09002_008E,In other families:,18
991,B11001_002E,Family households:,18
1000,B11001A_002E,Family households:,18
1009,B11001B_002E,Family households:,18
1018,B11001C_002E,Family households:,18
1027,B11001D_002E,Family households:,18
1036,B11001E_002E,Family households:,18
1045,B11001F_002E,Family households:,18
1054,B11001G_002E,Family households:,18
1063,B11001H_002E,Family households:,18
1072,B11001I_002E,Family households:,18
1229,B11016_002E,Family households:,18
1276,B12002A_011E,Female:!!Separated,18
1289,B12002B_011E,Female:!!Separated,18
1302,B12002C_011E,Female:!!Separated,18
1315,B12002D_011E,Female:!!Separated,18
1328,B12002E_011E,Female:!!Separated,18
1341,B12002F_011E,Female:!!Separated,18
1354,B12002G_011E,Female:!!Separated,18
1367,B12002H_011E,Female:!!Separated,18
1380,B12002I_011E,Female:!!Separated,18
1746,B15002_024E,Female:!!9th grade,18
1779,B15003_022E,Bachelor''s degree,18
1829,B19001_003E,"$10,000 to $14,999",18
1830,B19001_004E,"$15,000 to $19,999",18
1831,B19001_005E,"$20,000 to $24,999",18
1832,B19001_006E,"$25,000 to $29,999",18
1833,B19001_007E,"$30,000 to $34,999",18
1834,B19001_008E,"$35,000 to $39,999",18
1835,B19001_009E,"$40,000 to $44,999",18
1836,B19001_010E,"$45,000 to $49,999",18
1837,B19001_011E,"$50,000 to $59,999",18
1838,B19001_012E,"$60,000 to $74,999",18
1839,B19001_013E,"$75,000 to $99,999",18
1846,B19001A_003E,"$10,000 to $14,999",18
1847,B19001A_004E,"$15,000 to $19,999",18
1848,B19001A_005E,"$20,000 to $24,999",18
1849,B19001A_006E,"$25,000 to $29,999",18
1850,B19001A_007E,"$30,000 to $34,999",18
1851,B19001A_008E,"$35,000 to $39,999",18
1852,B19001A_009E,"$40,000 to $44,999",18
1853,B19001A_010E,"$45,000 to $49,999",18
1854,B19001A_011E,"$50,000 to $59,999",18
1855,B19001A_012E,"$60,000 to $74,999",18
1856,B19001A_013E,"$75,000 to $99,999",18
1863,B19001B_003E,"$10,000 to $14,999",18
1864,B19001B_004E,"$15,000 to $19,999",18
1865,B19001B_005E,"$20,000 to $24,999",18
1866,B19001B_006E,"$25,000 to $29,999",18
1867,B19001B_007E,"$30,000 to $34,999",18
1868,B19001B_008E,"$35,000 to $39,999",18
1869,B19001B_009E,"$40,000 to $44,999",18
1870,B19001B_010E,"$45,000 to $49,999",18
1871,B19001B_011E,"$50,000 to $59,999",18
1872,B19001B_012E,"$60,000 to $74,999",18
1873,B19001B_013E,"$75,000 to $99,999",18
1880,B19001C_003E,"$10,000 to $14,999",18
1881,B19001C_004E,"$15,000 to $19,999",18
1882,B19001C_005E,"$20,000 to $24,999",18
1883,B19001C_006E,"$25,000 to $29,999",18
1884,B19001C_007E,"$30,000 to $34,999",18
1885,B19001C_008E,"$35,000 to $39,999",18
1886,B19001C_009E,"$40,000 to $44,999",18
1887,B19001C_010E,"$45,000 to $49,999",18
1888,B19001C_011E,"$50,000 to $59,999",18
1889,B19001C_012E,"$60,000 to $74,999",18
1890,B19001C_013E,"$75,000 to $99,999",18
1897,B19001D_003E,"$10,000 to $14,999",18
1898,B19001D_004E,"$15,000 to $19,999",18
1899,B19001D_005E,"$20,000 to $24,999",18
1900,B19001D_006E,"$25,000 to $29,999",18
1901,B19001D_007E,"$30,000 to $34,999",18
1902,B19001D_008E,"$35,000 to $39,999",18
1903,B19001D_009E,"$40,000 to $44,999",18
1904,B19001D_010E,"$45,000 to $49,999",18
1905,B19001D_011E,"$50,000 to $59,999",18
1906,B19001D_012E,"$60,000 to $74,999",18
1907,B19001D_013E,"$75,000 to $99,999",18
1914,B19001E_003E,"$10,000 to $14,999",18
1915,B19001E_004E,"$15,000 to $19,999",18
1916,B19001E_005E,"$20,000 to $24,999",18
1917,B19001E_006E,"$25,000 to $29,999",18
1918,B19001E_007E,"$30,000 to $34,999",18
1919,B19001E_008E,"$35,000 to $39,999",18
1920,B19001E_009E,"$40,000 to $44,999",18
1921,B19001E_010E,"$45,000 to $49,999",18
1922,B19001E_011E,"$50,000 to $59,999",18
1923,B19001E_012E,"$60,000 to $74,999",18
1924,B19001E_013E,"$75,000 to $99,999",18
1931,B19001F_003E,"$10,000 to $14,999",18
1932,B19001F_004E,"$15,000 to $19,999",18
1933,B19001F_005E,"$20,000 to $24,999",18
1934,B19001F_006E,"$25,000 to $29,999",18
1935,B19001F_007E,"$30,000 to $34,999",18
1936,B19001F_008E,"$35,000 to $39,999",18
1937,B19001F_009E,"$40,000 to $44,999",18
1938,B19001F_010E,"$45,000 to $49,999",18
1939,B19001F_011E,"$50,000 to $59,999",18
1940,B19001F_012E,"$60,000 to $74,999",18
1941,B19001F_013E,"$75,000 to $99,999",18
1948,B19001G_003E,"$10,000 to $14,999",18
1949,B19001G_004E,"$15,000 to $19,999",18
1950,B19001G_005E,"$20,000 to $24,999",18
1951,B19001G_006E,"$25,000 to $29,999",18
1952,B19001G_007E,"$30,000 to $34,999",18
1953,B19001G_008E,"$35,000 to $39,999",18
1954,B19001G_009E,"$40,000 to $44,999",18
1955,B19001G_010E,"$45,000 to $49,999",18
1956,B19001G_011E,"$50,000 to $59,999",18
1957,B19001G_012E,"$60,000 to $74,999",18
1958,B19001G_013E,"$75,000 to $99,999",18
1965,B19001H_003E,"$10,000 to $14,999",18
1966,B19001H_004E,"$15,000 to $19,999",18
1967,B19001H_005E,"$20,000 to $24,999",18
1968,B19001H_006E,"$25,000 to $29,999",18
1969,B19001H_007E,"$30,000 to $34,999",18
1970,B19001H_008E,"$35,000 to $39,999",18
1971,B19001H_009E,"$40,000 to $44,999",18
1972,B19001H_010E,"$45,000 to $49,999",18
1973,B19001H_011E,"$50,000 to $59,999",18
1974,B19001H_012E,"$60,000 to $74,999",18
1975,B19001H_013E,"$75,000 to $99,999",18
1982,B19001I_003E,"$10,000 to $14,999",18
1983,B19001I_004E,"$15,000 to $19,999",18
1984,B19001I_005E,"$20,000 to $24,999",18
1985,B19001I_006E,"$25,000 to $29,999",18
1986,B19001I_007E,"$30,000 to $34,999",18
1987,B19001I_008E,"$35,000 to $39,999",18
1988,B19001I_009E,"$40,000 to $44,999",18
1989,B19001I_010E,"$45,000 to $49,999",18
1990,B19001I_011E,"$50,000 to $59,999",18
1991,B19001I_012E,"$60,000 to $74,999",18
1992,B19001I_013E,"$75,000 to $99,999",18
2738,B19101_003E,"$10,000 to $14,999",18
2739,B19101_004E,"$15,000 to $19,999",18
2740,B19101_005E,"$20,000 to $24,999",18
2741,B19101_006E,"$25,000 to $29,999",18
2742,B19101_007E,"$30,000 to $34,999",18
2743,B19101_008E,"$35,000 to $39,999",18
2744,B19101_009E,"$40,000 to $44,999",18
2745,B19101_010E,"$45,000 to $49,999",18
2746,B19101_011E,"$50,000 to $59,999",18
2747,B19101_012E,"$60,000 to $74,999",18
2748,B19101_013E,"$75,000 to $99,999",18
2755,B19101A_003E,"$10,000 to $14,999",18
2756,B19101A_004E,"$15,000 to $19,999",18
2757,B19101A_005E,"$20,000 to $24,999",18
2758,B19101A_006E,"$25,000 to $29,999",18
2759,B19101A_007E,"$30,000 to $34,999",18
2760,B19101A_008E,"$35,000 to $39,999",18
2761,B19101A_009E,"$40,000 to $44,999",18
2762,B19101A_010E,"$45,000 to $49,999",18
2763,B19101A_011E,"$50,000 to $59,999",18
2764,B19101A_012E,"$60,000 to $74,999",18
2765,B19101A_013E,"$75,000 to $99,999",18
2772,B19101B_003E,"$10,000 to $14,999",18
2773,B19101B_004E,"$15,000 to $19,999",18
2774,B19101B_005E,"$20,000 to $24,999",18
